county_id,No. of Planned Parenthood clinics,No. of federally qualified health centers,No. of female contraceptive clients served at Planned Parenthood clinics,No. of female contraceptive clients served at federally qualified health centers,No. of female contraceptive clients served at health department clinics,No. of female contraceptive clients served at hospital-based clinics,No. of female contraceptive clients served at other clinics,No. of health department clinics,No. of hospital-based clinics,No. of other clinics,Total no. of female contraceptive clients served at publicly funded clinics,"Total no. of female contraceptive clients served at publicly funded clinics, younger than 20",Total no. of women aged 13-44 with potential demand for contraceptive services and supplies,Total no. of women aged 20-44 with potential demand for contraceptive services and supplies,Total publicly funded clinics
29031,0.0,1.0,0.0,50.0,0.0,0.0,660.0,0.0,0.0,1.0,710.0,140.0,10510.0,9130.0,2.0
29033,0.0,1.0,0.0,10.0,100.0,0.0,0.0,1.0,0.0,0.0,110.0,40.0,840.0,700.0,2.0
29035,0.0,1.0,0.0,40.0,0.0,0.0,30.0,0.0,0.0,1.0,80.0,20.0,590.0,490.0,2.0
29037,0.0,3.0,0.0,860.0,0.0,1560.0,600.0,0.0,1.0,1.0,3010.0,1820.0,11530.0,9900.0,5.0
29039,,,,,,,,,,,,,1160.0,970.0,
29041,0.0,2.0,0.0,40.0,60.0,0.0,0.0,2.0,0.0,0.0,100.0,30.0,630.0,540.0,4.0
29043,,,,,,,,,,,,,10000.0,8680.0,
29045,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,1.0,80.0,30.0,640.0,540.0,1.0
29047,1.0,1.0,2140.0,410.0,0.0,3450.0,0.0,0.0,2.0,0.0,6000.0,1170.0,30170.0,26710.0,4.0
29049,,,,,,,,,,,,,2130.0,1830.0,
29051,0.0,0.0,0.0,0.0,150.0,1130.0,0.0,1.0,1.0,0.0,1280.0,310.0,8680.0,7550.0,2.0
29053,,,,,,,,,,,,,1640.0,1390.0,
29055,,,,,,,,,,,,,2330.0,1990.0,
29057,0.0,0.0,0.0,0.0,90.0,0.0,0.0,1.0,0.0,0.0,90.0,20.0,610.0,520.0,1.0
29059,0.0,0.0,0.0,0.0,320.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1570.0,1350.0,1.0
29061,,,,,,,,,,,,,750.0,610.0,
29063,,,,,,,,,,,,,940.0,810.0,
29065,,,,,,,,,,,,,1380.0,1180.0,
29067,0.0,1.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,10.0,1070.0,910.0,1.0
29069,0.0,1.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,3360.0,2890.0,1.0
29071,0.0,3.0,0.0,60.0,0.0,0.0,550.0,0.0,0.0,1.0,610.0,180.0,11100.0,9650.0,4.0
29073,,,,,,,,,,,,,1320.0,1120.0,
29075,0.0,1.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,20.0,640.0,540.0,1.0
29077,1.0,3.0,2570.0,640.0,1220.0,0.0,0.0,1.0,0.0,0.0,4440.0,1090.0,39250.0,34810.0,5.0
29079,0.0,0.0,0.0,0.0,280.0,0.0,0.0,1.0,0.0,0.0,280.0,70.0,990.0,830.0,1.0
29081,0.0,1.0,0.0,70.0,80.0,0.0,0.0,1.0,0.0,0.0,150.0,40.0,740.0,630.0,2.0
29083,0.0,1.0,0.0,20.0,0.0,0.0,90.0,0.0,0.0,1.0,110.0,20.0,1970.0,1670.0,2.0
29085,0.0,1.0,0.0,60.0,80.0,0.0,0.0,1.0,0.0,0.0,140.0,40.0,640.0,530.0,2.0
29087,0.0,2.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,30.0,370.0,320.0,2.0
29089,0.0,0.0,0.0,0.0,20.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,1090.0,910.0,1.0
29091,0.0,1.0,0.0,80.0,0.0,0.0,1840.0,0.0,0.0,2.0,1920.0,450.0,4310.0,3710.0,3.0
29093,0.0,2.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,10.0,900.0,760.0,2.0
29095,3.0,6.0,6890.0,2610.0,0.0,3780.0,0.0,0.0,4.0,0.0,13280.0,2520.0,90180.0,80500.0,13.0
29097,1.0,1.0,1000.0,110.0,510.0,0.0,0.0,1.0,0.0,0.0,1630.0,480.0,14760.0,12940.0,3.0
29099,0.0,1.0,0.0,130.0,1820.0,0.0,0.0,2.0,0.0,0.0,1950.0,480.0,25690.0,22450.0,3.0
29101,1.0,0.0,790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,790.0,190.0,7930.0,6920.0,1.0
29103,0.0,1.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,40.0,340.0,270.0,1.0
29105,0.0,1.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,3820.0,3300.0,1.0
29107,0.0,3.0,0.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0,430.0,100.0,3400.0,2940.0,3.0
